21
# x y z
-15	0	0
-13.5	0	0
-12	0	0
-10.5	0	0
-9	0	0
-7.5	0	0
-6	0	0
-4.5	0	0
-3	0	0
-1.5	0	0
0	0	0
1.5	0	0
3	0	0
4.5	0	0
6	0	0
7.5	0	0
9	0	0
10.5	0	0
12	0	0
13.5	0	0
15	0	0
171
# a b m n err i ip iperr k r rhoa u valid 
1	2	3	4	1.00003016580337e-02	0.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	-2.82743338823081e+01	0.00000000000000e+00	9.30706403149685e+01	0.00000000000000e+00	1
2	3	4	5	1.00003022219804e-02	0.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	-2.82743338823081e+01	0.00000000000000e+00	9.28969703141400e+01	0.00000000000000e+00	1
3	4	5	6	1.00003025893101e-02	0.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	-2.82743338823081e+01	0.00000000000000e+00	9.27841975857504e+01	0.00000000000000e+00	1
4	5	6	7	1.00003005001732e-02	0.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	-2.82743338823081e+01	0.00000000000000e+00	9.34292519028835e+01	0.00000000000000e+00	1
5	6	7	8	1.00002966285059e-02	0.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	-2.82743338823081e+01	0.00000000000000e+00	9.46487134539971e+01	0.00000000000000e+00	1
6	7	8	9	1.00002948358210e-02	0.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	-2.82743338823081e+01	0.00000000000000e+00	9.52242044178740e+01	0.00000000000000e+00	1
7	8	9	10	1.00002951048336e-02	0.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	-2.82743338823081e+01	0.00000000000000e+00	9.51373996467205e+01	0.00000000000000e+00	1
8	9	10	11	1.00002968157803e-02	0.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	-2.82743338823081e+01	0.00000000000000e+00	9.45889953061653e+01	0.00000000000000e+00	1
9	10	11	12	1.00002981969019e-02	0.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	-2.82743338823081e+01	0.00000000000000e+00	9.41508991220398e+01	0.00000000000000e+00	1
10	11	12	13	1.00003074160476e-02	0.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	-2.82743338823081e+01	0.00000000000000e+00	9.13273931636858e+01	0.00000000000000e+00	1
11	12	13	14	1.00003227336965e-02	0.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	-2.82743338823081e+01	0.00000000000000e+00	8.69927938737540e+01	0.00000000000000e+00	1
12	13	14	15	1.00003127084775e-02	0.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	-2.82743338823081e+01	0.00000000000000e+00	8.97817237478133e+01	0.00000000000000e+00	1
13	14	15	16	1.00003058611504e-02	0.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	-2.82743338823081e+01	0.00000000000000e+00	9.17916715985524e+01	0.00000000000000e+00	1
14	15	16	17	1.00003021452653e-02	0.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	-2.82743338823081e+01	0.00000000000000e+00	9.29205570004467e+01	0.00000000000000e+00	1
15	16	17	18	1.00002995278797e-02	0.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	-2.82743338823081e+01	0.00000000000000e+00	9.37325314265082e+01	0.00000000000000e+00	1
16	17	18	19	1.00002990117708e-02	0.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	-2.82743338823081e+01	0.00000000000000e+00	9.38943183919907e+01	0.00000000000000e+00	1
17	18	19	20	1.00003000043160e-02	0.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	-2.82743338823081e+01	0.00000000000000e+00	9.35836749401828e+01	0.00000000000000e+00	1
18	19	20	21	1.00003001681508e-02	0.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	-2.82743338823081e+01	0.00000000000000e+00	9.35325960339272e+01	0.00000000000000e+00	1
1	2	4	5	1.00013301590713e-02	0.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	-1.13097335529233e+02	0.00000000000000e+00	8.44274538725587e+01	0.00000000000000e+00	1
2	3	5	6	1.00013278092041e-02	0.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	-1.13097335529233e+02	0.00000000000000e+00	8.45768680238347e+01	0.00000000000000e+00	1
3	4	6	7	1.00012934715958e-02	0.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	-1.13097335529233e+02	0.00000000000000e+00	8.68221203409994e+01	0.00000000000000e+00	1
4	5	7	8	1.00012327415041e-02	0.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	-1.13097335529233e+02	0.00000000000000e+00	9.10993513293411e+01	0.00000000000000e+00	1
5	6	8	9	1.00011837387388e-02	0.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	-1.13097335529233e+02	0.00000000000000e+00	9.48705585058356e+01	0.00000000000000e+00	1
6	7	9	10	1.00011700938102e-02	0.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	-1.13097335529233e+02	0.00000000000000e+00	9.59768826976939e+01	0.00000000000000e+00	1
7	8	10	11	1.00011916182806e-02	0.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	-1.13097335529233e+02	0.00000000000000e+00	9.42432291259628e+01	0.00000000000000e+00	1
8	9	11	12	1.00012470433368e-02	0.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	-1.13097335529233e+02	0.00000000000000e+00	9.00545690166147e+01	0.00000000000000e+00	1
9	10	12	13	1.00014028546858e-02	0.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	-1.13097335529233e+02	0.00000000000000e+00	8.00524380642054e+01	0.00000000000000e+00	1
10	11	13	14	1.00016333071433e-02	0.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	-1.13097335529233e+02	0.00000000000000e+00	6.87573797644625e+01	0.00000000000000e+00	1
11	12	14	15	1.00017051274431e-02	0.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	-1.13097335529233e+02	0.00000000000000e+00	6.58613021938473e+01	0.00000000000000e+00	1
